"connection","connection_type","connection_transport","connection_protocol","connection_timestamp","connection_root","connection_parent","local_host","local_port","remote_host","remote_hostname","remote_port"
"1","accept","tcp","smbd","1.64784563E9","1","","10.1.0.4","445","104.244.72.115","","34792"
"2","accept","tcp","smbd","1.64784563E9","2","","10.1.0.4","445","23.129.64.147","","28643"
"3","accept","tcp","smbd","1.64784563E9","3","","10.1.0.4","445","185.220.100.240","","2202"
"4","accept","tcp","smbd","1.64784563E9","4","","10.1.0.4","445","45.154.255.139","","54133"
"5","accept","tcp","smbd","1.64784563E9","5","","10.1.0.4","445","45.154.255.147","","51670"
"6","accept","tcp","smbd","1.64784563E9","6","","10.1.0.4","445","45.154.255.147","","47272"
"7","accept","tcp","smbd","1.64784563E9","7","","10.1.0.4","445","171.229.89.78","","63331"
"8","accept","tcp","smbd","1.64784563E9","8","","10.1.0.4","445","62.78.82.60","","52134"
"9","accept","tcp","smbd","1.64784563E9","9","","10.1.0.4","445","62.78.82.60","","59148"
"10","accept","tcp","smbd","1.64784563E9","10","","10.1.0.4","445","62.78.82.60","","59172"
"11","accept","tcp","smbd","1.64784563E9","11","","10.1.0.4","445","162.142.125.7","","49154"
"12","accept","tcp","httpd","1.64784563E9","12","","10.1.0.4","80","185.254.196.223","","54840"
"13","accept","tcp","httpd","1.64784563E9","13","","10.1.0.4","80","45.146.165.37","","52122"
"14","accept","tcp","httpd","1.64784563E9","14","","10.1.0.4","80","106.75.152.94","","26580"
"15","accept","tcp","httpd","1.64784563E9","15","","10.1.0.4","80","106.75.162.130","","5024"
"16","accept","tcp","httpd","1.64784563E9","16","","10.1.0.4","80","106.75.85.103","","57216"
"17","accept","tcp","httpd","1.64784563E9","17","","10.1.0.4","80","45.146.165.37","","46254"
"18","accept","tcp","httpd","1.64784691E9","18","","10.1.0.4","80","188.192.248.88","","35012"
"19","accept","tcp","smbd","1.64784691E9","19","","10.1.0.4","445","210.212.250.129","","55497"
"20","accept","tcp","smbd","1.64784704E9","20","","10.1.0.4","445","210.212.250.129","","50038"
"21","accept","tcp","smbd","1.64784704E9","21","","10.1.0.4","445","210.212.250.129","","50062"
"22","accept","tcp","smbd","1.64784717E9","22","","10.1.0.4","445","210.212.250.129","","62271"
"23","accept","tcp","smbd","1.64784717E9","23","","10.1.0.4","445","210.212.250.129","","62388"
"24","accept","tcp","smbd","1.64784742E9","24","","10.1.0.4","445","117.102.119.2","","57449"
"25","accept","tcp","smbd","1.64784755E9","25","","10.1.0.4","445","103.157.221.201","","51919"
"26","accept","tcp","smbd","1.64784755E9","26","","10.1.0.4","445","117.102.119.2","","56343"
"27","accept","tcp","smbd","1.64784755E9","27","","10.1.0.4","445","117.102.119.2","","56382"
"28","accept","tcp","smbd","1.64784755E9","28","","10.1.0.4","445","117.197.66.156","","51282"
"29","accept","tcp","smbd","1.64784755E9","29","","10.1.0.4","445","117.197.66.156","","51317"
"30","accept","tcp","smbd","1.64784755E9","30","","10.1.0.4","445","103.157.221.201","","54216"
"31","accept","tcp","smbd","1.64784755E9","31","","10.1.0.4","445","103.157.221.201","","54228"
"32","accept","tcp","smbd","1.64784768E9","32","","10.1.0.4","445","119.123.122.83","","1973"
"33","accept","tcp","smbd","1.64784768E9","33","","10.1.0.4","445","117.102.119.2","","2580"
"34","accept","tcp","smbd","1.64784768E9","34","","10.1.0.4","445","117.102.119.2","","52673"
"35","accept","tcp","smbd","1.64784768E9","35","","10.1.0.4","445","202.170.51.249","","60018"
"36","accept","tcp","smbd","1.64784768E9","36","","10.1.0.4","445","202.170.51.249","","60063"
"37","accept","tcp","smbd","1.64784768E9","37","","10.1.0.4","445","103.157.221.201","","52781"
"38","accept","tcp","smbd","1.64784768E9","38","","10.1.0.4","445","103.157.221.201","","52858"
"39","accept","tcp","smbd","1.64784768E9","39","","10.1.0.4","445","119.123.122.83","","4712"
"40","accept","tcp","smbd","1.64784768E9","40","","10.1.0.4","445","119.123.122.83","","4726"
